156.08999 145.48454 134.805 129.52773 127.78845 125.33651 124.23506 123.43534 120.28772 116.50834 114.12278 107.45254 100.57954 93.70653 85.19179                      -1 71.595 73.89504 69.66 64.8145 57.23358 46.3325 40.98975 38.3027 33.98672 28.65842 24.36458 23.43129 16.52009 9.60889 2.62237                      -1
123.195 123.84 130.29 138.675 148.35 154.155 160.605 176.08499 188.98499 198.65999 203.17499 192.85499 188.98499 190.91999 189.62999 188.98499 188.98499 188.33999 185.76 183.17999 192.20999 201.23999 203.81999 212.20499 213.49499 228.97499 236.06999 243.80999 247.67999 248.96999 252.19499 259.28999 259.93499 264.44999 264.44999 249.61499 241.87499 194.78999 199.30499 205.10999 210.91499 216.71999 219.29999 221.23499 223.16999 225.10499 227.68499 238.64999 245.74499 253.48499 260.57999 266.38499 274.12499 277.99499 275.41499 274.12499 276.05999 274.12499 267.67499 271.54499 273.47999 279.28499 272.83499 265.73999 259.28999 252.19499 249.61499 248.32499 248.96999 247.03499 247.03499 244.45499 221.87999 209.62499
204.46499 204.46499 198.65999 196.07999 188.98499 188.98499 187.04999 187.69499 188.98499 188.98499 187.69499 194.14499 201.88499 209.62499 213.49499 217.36499 216.71999 214.78499 208.33499 212.20499 214.78499 217.36499 223.16999 221.87999 221.87999 219.94499 217.36499 213.49499 213.49499 219.29999 225.10499 228.97499 228.97499 232.19999 227.68499 228.97499 228.97499 246.38999 253.48499 260.57999 267.02999 269.60999 272.18999 276.05999 279.28499 283.15499 287.02499 292.82999 293.47499 294.11999 294.11999 292.18499 290.89499 290.89499 287.66999 278.63999 277.99499 281.21999 276.05999 276.05999 273.47999 270.25499 268.96499 272.18999 272.83499 270.25499 265.73999 257.35499 247.03499 243.16499 236.71499 238.00499 241.87499 243.16499
157.38 161.68167 163.46109 156.08999 159.315 162.6489 159.315 161.89499 164.4701 164.30447 165.36874 165.21113 165.90739 165.53278 165.75629 165.7322 164.95454 165.92176 165.56387 165.63943 166.03925 166.66531 165.40462 164.25827 163.88654 164.475 160.47649 152.86499 145.2535 138.88934 129 129 125.34105 123.43411 121.52717 122.41237 125.13 188.33999 185.69724 186.04084 186.40499 187.04999 192.79077 197.36999 198.01499 197.11101 197.45648 196.81086 196.20152 195.62557 195.43499 195.0897 194.82497 195.39183 195.3065 194.87091 195.06819 194.63508 194.54005 194.60197 196.34573 199.26939 191.56499 186.35063 186.40499 186.45936 187.03622 192.85499 199.94999 207.4967 213.35636 219.21602 227.40562 224.45999
139.965 140.01667 146.415 151.575 157.60484 156.735 153.51 147.06 135.45 121.26 116.1 112.23 112.875 115.73027 110.295 111.585 123.84 132.87 145.92681 147.06 158.02499 171.41046 168.98999 162.62288 150.93 137.385 123.28032 121.26 118.53936 118.77258 119.0058 116.5321 118.02305 123.84 135.45 151.575 155.445 184.47 176.01667 181.89 179.30999 182.25775 178.01999 179.955 181.89 188.98499 174.14999 169.635 170.28 183.825 198.26746 203.81999 206.39999 205.10999 212.84999 218.33492 213.49499 218.65499 228.86693 227.03999 221.09634 217.36499 209.62499 204.7363 205.10999 202.26003 196.94201 191.62399 182.77943 175.30561 179.955 191.56499 173.505 165.11999
377.96999 378.51574 377.29999 375.67666 376.03499 372.595 370.11 370.29912 368.43388 370.24086 372.31758 379.25999 386.99999 393.6347 399.34498 406.35904 411.93335 418.48897 425.04459 434.04605 434.72999 436.66499 439.85893 443.91675 448.10767 451.33677 455.20311 460.78218 465.72502 465.82978 465.7825 466.37199 465.96304 470.84999 470.20499 476.65499 480.22032 274.12499 266.58841 261.63499 257.98696 259.20202 263.3511 271.16251 276.10147 283.56546 290.2355 293.06232 288.95999 292.18499 290.76476 292.87501 297.34501 300.84277 302.93949 305.03621 307.13398 317.33999 320.56499 326.00991 328.11227 332.28026 338.01684 339.48415 337.83205 333.29205 330.05114 326.34249 321.96597 317.00808 308.30999 302.50499 301.85999 297.53778
371.51999 372.50387 371.649 374.74499 372.74755 373.95504 371.29426 370.22999 371.51999 371.64073 373.37291 368.93999 370.22999 372.51631 368.93999 366.35999 358.61999 343.78499 336.04499 334.75499 334.75499 334.75499 334.75499 335.8163 335.79075 338.31115 339.3751 337.36881 339.61186 346.6134 352.289 357.31074 361.02429 361.09437 362.23323 362.17481 363.86754 325.72499 320.33542 319.45236 328.94999 340.19934 354.53618 368.97223 370.87499 379.90499 393.52065 401.53304 401.18999 411.50999 424.50502 421.82999 426.98999 434.08499 432.14999 428.27999 430.85999 428.27999 421.18499 414.08999 404.61994 396.8586 391.70761 382.37035 377.06111 372.98092 368.55253 368.60442 370.66563 372.93254 375.55403 378.95942 387.13152 396.58314
427.63499 422.38936 422.47499 412.79999 414.73499 410.25731 399.45584 396.02999 390.92896 387.08046 384.41999 382.41078 382.48251 381.70504 379.35128 381.10031 383.9725 386.54521 390.12255 391.08065 396.12589 399.26924 400.76116 404.33161 410.55721 412.65882 417.10075 426.29243 430.65594 434.8373 437.83566 440.29693 439.60158 438.05297 438.27528 434.54508 433.34358 312.17999 302.34146 303.14999 301.21499 296.69999 292.43992 287.24333 281.86499 270.92633 260.63324 256.70999 249.15862 243.3041 241.06874 237.60543 229.63639 218.54998 205.04537 197.60531 189.0359 181.23899 169.397 159.87803 148.99036 143.38691 134.0303 128.79703 122.05031 115.9957 109.0321 101.041 92.66462 83.37267 74.69402 68.2082 66.54788 60.57964
418.60499 418.55617 421.82999 416.66999 410.15346 403.12499 393.44999 386.68426 386.35499 384.957 385.82841 389.57999 403.12499 406.99499 414.08999 419.1929 417.31499 414.73499 414.08999 415.19571 417.93003 420.66435 423.64287 424.15138 424.65989 426.62292 428.31947 427.98209 427.3319 426.34499 421.19995 412.15499 400.20143 399.89999 396.12073 392.34147 387.73888 529.54498 526.31239 517.93498 508.90499 505.09719 512.77499 510.83999 513.15087 503.74498 498.405 495.74791 497.93998 492.13498 496.00498 501.16499 509.70427 516.64499 532.12498 535.99498 536.02833 534.51893 533.00954 530.75007 530.81786 530.88565 533.78658 535.94526 536.41291 537.45104 527.60998 515.91023 509.54998 502.27834 506.32499 507.31355 508.30211 505.32902
212.84999 219.31458 227.67316 227.68499 219.94499 214.48755 215.42999 208.33499 207.68999 207.32252 205.05303 202.50738 202.02357 200.48811 194.82131 191.40223 187.48922 185.32707 184.83911 181.32111 176.08499 172.11577 168.8702 165.65815 163.9131 161.59362 162.96802 164.75113 164.36405 165.05385 166.08143 167.91445 168.43621 168.95797 174.11116 175.14403 176.29227 426.34499 418.24198 410.55599 412.15499 411.50999 413.09584 417.95999 432.79499 435.37499 441.04027 444.97649 449.85879 450.63598 454.28639 453.48302 456.54543 460.21737 463.12089 465.97918 469.58203 470.84999 470.25459 475.15858 479.41702 480.53038 481.94167 485.77179 486.43478 488.74452 490.55831 492.92872 493.97554 494.59657 495.21759 497.43175 497.6537 497.17586
